group,age,fiinc,fninc,ownermort,ownerhome,rentalmort,rentalhome,dweght,year
group 10,65,22734.145158429277,19184.02763499812,-1416.4802361879767,27047.148445266335,-2053.378528590675,36848.57040783906,9.63995e10,1970
group 1,65,22.448844809597897,16.915865213301096,-26.58848772897589,1150.9680550072728,0.0,67.58565302655688,9.25397755565e11,1970
group 9,65,8697.670095853986,8285.176462571462,-890.2255117576249,18837.786057634938,-881.2068579049248,20648.86107402614,5.13687e10,1970
group 8,65,7367.1433235999675,6579.977769961274,-765.6578614260143,17777.899769932967,-446.32155816830425,5241.575172367092,4.89805e10,1970
group 7,65,6489.009824685201,6159.748001589606,-1368.6651223963584,20464.08086121704,-379.6963503258099,8815.71146583747,3.67057e10,1970
group 6,65,5055.161861664237,4954.991570874896,-775.9308652634878,20439.17513028466,-147.44149201319144,8182.040427476374,5.08031e10,1970
group 5,65,4418.915290653113,4020.3727290616616,-803.4212597721261,13308.160645050943,-208.67128993158013,14789.728886713063,9.1282192935e10,1970
group 4,65,3339.0615410198407,3247.178887256702,-858.0867714764498,13912.300741991854,-158.74126861238503,4537.190304993777,1.4589582093e11,1970
group 3,65,2202.756238054198,2129.241393157666,-586.6841391855703,9866.294359059933,-70.122884150562,4576.301051098268,2.51451078024e11,1970
group 2,65,1152.4454347204255,1129.4527089141004,-158.87313300716218,3362.5993140659502,-50.80458264542278,2652.4390973033073,3.09061546676e11,1970
group 10,0,14876.556196205373,13968.658052791803,-5585.654221546109,17541.52797395982,-1830.504884643018,7261.769817436576,1.1829829e12,1970
group 1,0,-286.4733560231231,-396.02585562382626,-437.0276539604784,1387.638238424894,-549.9583114015181,1232.4963252668026,3.48893257904e11,1970
group 9,0,8221.11995472132,8142.90921574303,-3873.316103336363,9978.49191767872,-1020.7453272948512,2484.459092445587,1.2321228e12,1970
group 2,0,1093.84915205371,1081.7381090623442,-620.2005374048765,1574.6257601434183,-473.82188414388594,869.7896203505142,9.69869499653e11,1970
group 8,0,6680.989553067175,6650.329817461114,-3500.645981534115,7929.240750541811,-628.3259328777463,1256.1797959128112,1.2506792e12,1970
group 7,0,5648.967787620411,5615.968228872225,-2868.60022359236,6591.667027829517,-553.5651780540238,1253.2134135045771,1.2253774e12,1970
group 6,0,4802.112477205351,4784.203002597986,-2362.1502779774173,5163.636461968229,-561.4490675171924,1169.077285198443,1.2093546e12,1970
group 5,0,3965.725732299527,3948.592148016991,-1917.0302860857075,4482.197550084811,-550.7018192113812,987.0607630963655,1.1913168e12,1970
group 4,0,3068.13274685767,3044.2341840841677,-1350.4769692592015,3383.5312275635647,-505.30362715794683,965.4932687760246,1.1333078e12,1970
group 3,0,2118.398537113049,2092.4994899967865,-792.1455415104638,2714.6696890407293,-479.0993789065331,1292.0241248180873,1.01602104826e12,1970
group 10,65,24527.821773773514,19235.217209634182,-5577.301668677159,29096.688694266057,-2089.040202912203,34864.59738870634,1.025385e11,1971
group 1,65,-2.8352174526672473,-8.307154062164477,-25.14262579181747,1254.0753989973875,0.0,48.214030550324644,9.79423900982e11,1971
group 9,65,10012.217608919736,9100.556269638068,-2907.0333969884077,15612.338194661732,-911.4122058816575,13669.203806673662,3.75231e10,1971
group 8,65,7863.18170332161,7393.3000439329635,-3587.073556053503,13329.293854192365,-401.00881118620066,15313.67484094731,4.9006e10,1971
group 7,65,6766.897353464421,6460.9477390826605,-2519.526066139451,16144.48971335347,-341.11737622654954,8387.848294073117,6.91487e10,1971
group 6,65,5558.1044401694735,5415.414547982137,-2025.9622181648601,11470.328663175967,-340.71080131337345,17026.84968352237,5.32776e10,1971
group 3,65,2198.1763813746124,2152.9721227362547,-1002.397866718109,7716.099019619934,-111.78984169390213,5700.81592370387,2.32143017408e11,1971
group 5,65,4241.978900422336,4079.081983621764,-900.2559331689971,11157.071478198233,-122.62104657802351,9732.447578371373,7.3181326781e10,1971
group 4,65,3362.0268343103226,3144.940275203933,-1698.2275477450207,11889.479163422799,-185.1496977038361,6028.099994367681,1.74908806682e11,1971
group 2,65,1073.1615643547887,1056.9983698772728,-210.14339218549546,3717.9209167108456,-62.15550701736442,1969.005769729594,2.84956875722e11,1971
group 10,0,15950.8622534225,14626.100591997883,-5757.809130743352,19104.616322154696,-1964.3406433258103,7874.69253031946,1.206194322971e12,1971
group 1,0,-447.543137845176,-602.4037048385267,-503.893237747458,1286.3182357976873,-735.586005682006,1276.337681018273,3.2295550553e11,1971
group 4,0,3123.115594969164,3090.188667962852,-1253.922282143588,3976.8822476127802,-537.7476483827357,1147.2707976744575,1.135466057699e12,1971
group 9,0,8680.782623547275,8604.96512336521,-4300.880341018006,10903.579940631638,-1209.8040741892569,2625.025624108938,1.27493508976e12,1971
group 8,0,7029.1529958057345,6975.639690432907,-3147.693599814479,8620.745157788511,-772.1851195796763,1726.3811275450882,1.253959222524e12,1971
group 7,0,5891.990058482727,5860.251626920809,-2829.449290328869,7245.850973184266,-644.9350192325599,1342.397943798212,1.261679318396e12,1971
group 6,0,4958.750122183234,4918.125262229676,-2408.5258973608816,5653.76308564873,-670.8436485927745,1427.2812868592769,1.235221405252e12,1971
group 5,0,4085.1019287905074,4035.537091678906,-1708.0903163724759,4739.159209578363,-680.8947606131874,1168.3552418054219,1.231528161034e12,1971
group 3,0,2112.110337772254,2068.4672851875685,-641.2891691262364,2036.982433099341,-544.2734263896879,954.7873356149405,1.073374817426e12,1971
group 2,0,1030.7560582325257,1003.2334295619502,-636.5626535326646,1723.3332722442576,-418.64186329822985,900.752651740729,1.02585467173e12,1971
group 10,65,26832.170013792642,20691.434539116777,-1436.5472020260402,32227.917024378316,-2150.4716710526172,40678.60934503439,1.02412862025e11,1972
group 1,65,-5.63472072282461,-11.838043706919327,-25.962657427107885,1405.4887344289268,-53.35581840998503,145.40838481630342,9.72881778923e11,1972
group 9,65,10123.234936188728,9102.009010860607,-1011.3736878304979,15305.957574068594,-749.7165929166421,9015.59997270879,5.51399e10,1972
group 8,65,8580.333823352348,7824.802539135542,-1311.9641046689424,15480.710205422827,-682.0093823599874,13985.812614688224,5.09618e10,1972
group 7,65,7039.457955861411,6544.624246680925,-957.3910333694769,23661.073826143413,-280.84717712261465,10378.53319358973,5.56964e10,1972
group 6,65,5938.473347281796,5696.897415016807,-1114.3593823936856,21679.458567593178,-541.9220444780005,11940.198343839427,6.76873e10,1972
group 5,65,4897.832608710139,4588.211606729097,-1087.8501712115647,15794.400439657446,-110.10938491862414,5948.49547886596,1.022694e11,1972
